category	category_id	description
chart_name	A7	Aeronautical sectional chart on which facility appears. (ex. Washington)
distance_from_cbd	A3	Distance from central business district of the associated city to the airport (nearest nautical mile - ex. 08).
direction_from_cbd	A3	Direction of airport from central business district of associated city (nearest 1/8 compass point - ex. NE).
boundary_artcc_id	E146A	Boundary ARTCC Identifier.  The boundary ARTCC is the FAA air route traffic control center within whose published boundaries the airport lies. It may not be the controlling ARTCC for the airport if a letter of agreement exists between the boundary ARTCC and another ARTCC. (ex. ZDC for Washington ARTCC)
boundary_artcc_name	E146C	Boundary ARTCC name. (ex. Washington)
responsible_artcc_id	E156A	Responsible ARTCC identifier the responsible ARTCC is the FAA air route traffic control center who has assumed control over the airport through a letter of agreement with the boundary ARTCC. (ex. ZDC for Washington ARTCC)
responsible_artcc_name	E156C	Responsible ARTCC name. (ex. Washington)
tie_in_fss_id	A86	Tie-in flight service station (FSS) identifier. (ex. DCA for Washington FSS)
tie_in_fss_name	A86	Tie-in FSS name. (ex. Washington)
tie_in_fss_toll_free_number	A89	Toll free phone number from airport to FSS for pilot briefing services the data describes the type of toll-free communications and the number to dial. The data formats and their meanings are: 1-nnn-nnnn, dial 1-800- then nnn-nnnn; 8-nnn-nnnn, dial 800 then nnn-nnnn; e-nnnnnnnn, enterprise number dial 0 & ask for enterprise nnnnnnnn; lcnnn-nnnn, local call - dial nnn-nnnn; dl, direct line telephone at the airport - no dialing required; z-nnnnnnnn, zenith number - dial 0 and ask for zenith nnnnnnnn; w-nnnnnnnn, dial 0 and ask for wx nnnnnnnn; c-nnnnnnnn, dial 0 and ask for commerce nnnnnnnn; ld-nnnnnnnn, long distance call - dial (area code) then nnnnnnn; lt-nnnnnnnn, long distal call dial 1-nnnnnnn; 1-wx-brief, dial 1-800-wx-brief; 8-wx-brief, dial 800-wx-brief
notam_facility_id	E2B	Identifier of the facility responsible for issuing notices to airmen (NOTAMS) and weather information for the airport. (ex. ORD)
notam_service	E139	Availability of NOTAM 'd' service at airport. (ex. Y - yes, N - no)
airport_status_code		Airport status code: CI - closed indefinitely; CP - closed permanently; O - operational
customs_airport_of_entry	E79	Facility has been designated by the U.S. Treasury as an international airport of entry for customs (ex. Y - yes, N - no)
customs_landing_rights	E80	Facility has been designated by the U.S. Treasury as a customs landing rights airport (ex. Y - yes, N - no)
military_joint_use	E115	Facility has military/civil joint use agreement that allows civil operations at a military airport or military operations at a civil airport (ex. Y - yes, N - no)
military_landing_rights	E116	Airport has entered into an agreement that grants landing rights to the military (ex. Y - yes, N - no)
fuel_types	A70	Fuel types available for public use at the airport. There can be up to 8 occurrences of a fixed 5 character field (ex. 80___100__100LL115__). 80 - grade 80 gasoline (red), 100 - grade 100 gasoline (green), 100LL - grade 100LL gasoline (low lead blue), 115 - grade 115 gasoline, A - jet A - kerosene, freeze point -40C, A1 - jet A-1 - kerosene, freeze point -50C, A1+ - jet A-1 - kerosene, with icing inhibitor freeze point -50C, B - jet B - wide-cut turbine fuel, freeze point -50C, B+ - jet B - wide-cut turbine fuel with icing inhibitor, freeze point -50C, MOGAS - automotive gasoline.
airframe_repair	A71	Airframe repair service availability/type. (ex. MAJOR, MINOR, NONE)
power_plant_repair	A72	Power plant (engine) repair availability/type. (ex. MAJOR, MINOR, NONE)
bottled_oxygen_type	A73	Type of bottled oxygen available (value represents high and/or low pressure replacement bottle). (ex. HIGH, LOW, HIGH/LOW, NONE)
bulk_oxygen_type	A74	Type of bulk oxygen available (value represents high and/or low pressure cylinders). (ex. HIGH, LOW, HIGH/LOW, NONE)
lighting_schedule	A81	Airport lighting schedule value is the beginning-ending times (local time) that lights are operated. Format can be 1900-2300, DUSK-0100, ALL, DUSK-DAWN, NONE, etc.
beacon_schedule	A81	"Beacon lighting schedule value is the beginning-ending times (local time) that the rotating airport beacon light is operated. Value can be ""SS-SR"" (indicating sunset-sunrise), blank, or ""SEE RMK"", indicating that the details are in a facility remark data entry."
atct	A85	Air traffic control tower located on airport. (ex. Y - yes, N - no)
unicom_frequencies	A82	Unicom frequencies available at the airport there can be up to 6 occurrences of a fixed 7 character field. (ex. 122.700 or 122.700122.800 or NONE)
ctaf_frequency	E100	Common traffic advisory frequency. (CTAF) (ex. 122.800)
beacon_color	A80	Lens color of operable beacon located on the airport. (ex. CG - clear-green (lighted land airport); CY - clear-yellow (lighted seaplane base); CGY - clear-green-yellow (heliport); SCG - split-clear-green (lighted military airport); C - clear (unlighted la
non_commercial_landing_fee	A24	Landing fee charged to non-commercial users of airport. (ex. Y - yes, N - no)
medical_use	NONE	Landing facility is used for medical purposes. (ex. Y - yes, N - no)
operations_commercial	A100	Commercial services. Scheduled operations by cab-certificated carriers or intrastate carriers.
operations_air_taxi	A102	Air taxi. Air taxi operators carrying passengers, mail, or mail for revenue.
operations_ga_local	A103	General aviation local operations. Those operating in the local traffic pattern or within a 20-mile radius of the airport.
operations_ga_itin	A104	General aviation itinerant operations. Those general aviation operations (excluding commuter or air taxi) not qualifying as local.
operations_military	A105	Military aircraft operations.
operations_date	NONE	12-month ending date on which annual operations data in above six field is based (mm/dd/yyyy).
icao_identifier	NONE	International coding for airport.
