site_number	state	sequence_number	attendance_schedule
24181.1*H	TX	1	UNATNDD
24182.25*H	TX	1	UNATNDD
24182.3*H	TX	1	UNATTND
24184.*A	TX	1	UNATNDD
24184.01*A	TX	1	ALL/ALL/DAWN-DUSK
24184.02*A	TX	1	UNATNDD
24189.01*H	TX	1	UNATNDD
24189.1*A	TX	2	UNATNDD
24189.11*A	TX	1	UNATNDD
24189.2*A	TX	1	UNATNDD
24189.22*A	TX	1	UNATNDD
24189.6*A	TX	2	ALL/ALL/0700-1900
24189.81*A	TX	1	UNATNDD
24189.88*A	TX	1	UNATNDD
24189.89*A	TX	1	UNATTND
24190.*A	TX	1	ALL/ALL/DALGT
24190.01*H	TX	1	UNATNDD
24191.*A	TX	1	UNATNDD
24191.01*A	TX	1	UNATNDD
24192.3*A	TX	1	UNATNDD
24192.4*H	TX	1	ALL/ALL/ALL
24192.7*H	TX	1	UNATNDD
24194.*A	TX	1	ALL/ALL/ALL
24194.01*A	TX	1	UNATNDD
24195.6*A	TX	1	UNATNDD
24195.8*A	TX	1	UNATNDD
24196.*A	TX	1	ALL/ALL/DALGT
24196.7*A	TX	1	UNATNDD
24198.1*H	TX	2	UNATNDD
24200.*A	TX	1	UNATNDD
24200.11*A	TX	1	UNATNDD
24200.12*A	TX	1	UNATNDD
24200.13*A	TX	1	UNATNDD
24202.*A	TX	1	UNATNDD
24205.*A	TX	1	UNATNDD
24205.01*A	TX	1	UNATNDD
24205.65*A	TX	1	UNATNDD
24206.*A	TX	2	ALL/MON-FRI/0800-1600
24208.2*A	TX	1	UNATNDD
24208.21*H	TX	1	ALL/ALL/ALL
24208.211*A	TX	1	UNATNDD
24208.4*A	TX	1	UNATNDD
24209.*A	TX	1	UNATNDD
24209.01*A	TX	1	ALL/ALL/0600-2200
24216.1*A	TX	1	ALL/ALL/0800-1800
24216.23*A	TX	1	UNATNDD
24216.24*A	TX	1	UNATNDD
24216.25*A	TX	1	UNATNDD
24217.*A	TX	1	UNATNDD
24219.*A	TX	1	UNATNDD
24219.6*A	TX	1	UNATNDD
24220.6*A	TX	1	UNATNDD
24221.1*A	TX	1	ALL/ALL/0800-1700
24225.14*H	TX	1	UNATNDD
24225.8*A	TX	1	UNATNDD
24226.1*A	TX	1	ALL/MON-FRI/0800-1700
24226.1*A	TX	2	ALL/SAT-SUN/1200-1700
24227.*A	TX	1	UNATNDD
24227.01*H	TX	1	UNATNDD
24227.02*A	TX	1	UNATNDD
24227.03*A	TX	1	UNATNDD
24227.8*A	TX	1	IRREGULAR
24228.*A	TX	1	ALL/TUE-THU/0800-1700
24228.*A	TX	2	ALL/FRI-MON/0700-1700
24231.*A	TX	1	ALL/ALL/0700-1500
24231.01*A	TX	1	UNATNDD
24231.62*A	TX	1	ALL/ALL/ALL
24233.*A	TX	1	UNATNDD
24233.01*A	TX	1	UNATNDD
24233.7*A	TX	1	UNATNDD
24233.71*A	TX	1	UNATNDD
24237.*A	TX	1	UNATNDD
24237.1*A	TX	1	IREG
24238.*H	TX	1	ALL/ALL/ALL
24238.01*H	TX	1	ALL/ALL/0800-1700
24239.*A	TX	1	ALL/ALL/0600-2100
24239.11*H	TX	1	ALL/ALL/ALL
24241.11*A	TX	1	UNATNDD
24241.3*A	TX	1	UNATNDD
24241.5*A	TX	1	ALL/ALL/ALL
24241.8*A	TX	1	UNATNDD
24243.1*A	TX	1	ALL/ALL/ALL
24243.2*H	TX	1	UNATNDD
24243.21*H	TX	1	ALL/ALL/ALL
24243.22*H	TX	1	UNATNDD
24243.3*H	TX	1	UNATNDD
24243.4*A	TX	1	UNATNDD
24243.5*H	TX	1	ALL/ALL/ALL
24243.6*A	TX	1	UNATNDD
24243.7*H	TX	1	UNATNDD
24243.8*H	TX	1	UNATNDD
24243.9*A	TX	1	UNATTND
24245.*A	TX	1	ALL/ALL/ALL
24248.*H	TX	1	UNATNDD
24249.*A	TX	1	ALL/MON-FRI/0700-1900
24249.*A	TX	2	ALL/SAT-SUN/0900-1900
24249.02*A	TX	1	ALL/ALL/DALGT
24249.03*A	TX	1	ALL/ALL/ALL
24249.04*H	TX	1	UNATNDD
24249.16*A	TX	1	UNATNDD
24254.*A	TX	1	UNATNDD
24254.01*H	TX	1	ALL/ALL/ALL
24260.*A	TX	1	ALL/ALL/0600-2200
24263.*A	TX	1	UNATNDD
24263.7*A	TX	1	UNATNDD
24269.11*A	TX	1	UNATNDD
24269.12*A	TX	1	UNATNDD
24272.01*H	TX	1	UNATNDD
24272.05*A	TX	1	UNATNDD
24272.11*A	TX	1	IREG
24272.14*A	TX	1	UNATNDD
24272.16*H	TX	1	ALL/ALL/ALL
24272.18*A	TX	1	UNATNDD
24275.1*A	TX	1	UNATNDD
24281.1*A	TX	1	UNATNDD
24281.12*A	TX	1	ALL/ALL/ALL
24284.*A	TX	1	ALL/ALL/ALL
24284.4*A	TX	1	UNATNDD
24285.61*H	TX	1	ALL/MON-FRI/0800-1700
24285.63*H	TX	1	UNATNDD
24285.71*A	TX	1	UNATNDD
24285.72*A	TX	1	UNATNDD
24285.81*A	TX	1	ALL/ALL/DALGT
24287.4*A	TX	1	ALL/ALL/ALL
24287.41*A	TX	1	UNATNDD
24287.411*A	TX	1	IREG
24287.42*A	TX	1	UNATNDD
24287.5*A	TX	1	UNATNDD
24287.51*A	TX	1	UNATNDD
24288.3*A	TX	1	UNATNDD
24291.42*A	TX	1	ALL/ALL/ALL
24291.441*A	TX	1	ALL/ALL/ALL
24293.1*A	TX	1	ALL/ALL/DALGT
24293.11*A	TX	1	UNATNDD
24293.14*A	TX	1	UNATNDD
24298.*A	TX	2	ALL/ALL/0800-1600
24298.01*A	TX	1	ON CALL
24298.32*A	TX	1	ALL/ALL/ALL
24298.5*A	TX	1	UNATNDD
24298.51*H	TX	1	ALL/ALL/ALL
24299.2*A	TX	1	UNATNDD
24301.5*A	TX	1	IREG
24302.*A	TX	1	ALL/MON-SAT/0800-1700
24302.*A	TX	2	ALL/SUN/IREG
24308.*A	TX	3	UNATNDD
24308.01*A	TX	1	IREG
24308.02*A	TX	1	UNATNDD
24308.03*A	TX	1	UNATNDD
24308.18*A	TX	1	ALL
24308.36*A	TX	1	UNATNDD
24308.8*A	TX	1	UNATNDD
24313.19*A	TX	1	UNATNDD
24315.11*H	TX	1	ALL/ALL/DALGT
24321.8*A	TX	1	IREG
24321.81*A	TX	1	UNATNDD
24321.82*A	TX	1	UNATNDD
24322.*A	TX	1	ALL/ALL/DALGT
24322.01*A	TX	1	UNATNDD
24322.2*A	TX	1	UNATNDD
24339.*A	TX	1	UNATNDD
24340.*A	TX	1	UNATNDD
24341.01*A	TX	1	UNATNDD
24341.03*A	TX	1	UNATNDD
24341.04*A	TX	1	UNATNDD
24343.06*A	TX	1	UNATNDD
24344.*U	TX	1	ALL/ALL/DAWN-1300
24344.1*A	TX	1	ALL/ALL/DAWN-DUSK
24344.5*A	TX	1	UNATNDD
24344.9*A	TX	1	UNATNDD
24346.41*H	TX	1	UNATNDD
24346.42*H	TX	1	UNATNDD
24346.43*H	TX	1	ALL/ALL/ALL
24346.5*A	TX	1	ALL/ALL/0800-2000
24346.6*H	TX	1	UNATNDD
24347.*A	TX	1	ALL/ALL/IREG
24347.01*A	TX	3	ALL/MON-FRI/0800-1800
24347.01*A	TX	4	ALL/SAT-SUN/0900-1500
24349.*A	TX	1	ALL/ALL/ALL
24349.1*A	TX	1	UNATNDD
24350.6*H	TX	1	UNATNDD
24352.*A	TX	1	ALL/MON-SUN/0600-2000
24352.02*A	TX	1	UNATNDD
24352.03*A	TX	1	ALL/ALL/DAWN-DUSK
24352.04*A	TX	1	UNATNDD
24352.08*H	TX	1	UNATNDD
24353.*A	TX	1	ALL/ALL/ALL
24353.23*A	TX	1	UNATNDD
24353.51*G	TX	1	ALL/SAT-SUN-THRU/1000-DUSK
24353.52*A	TX	1	UNATNDD
24353.53*H	TX	1	ALL/ALL/ALL
24353.6*A	TX	2	MAR-OCT/MON-SAT/0800-1900
24353.6*A	TX	3	NOV-FEB/MON-SAT/0800-1800
24353.6*A	TX	4	MAR-OCT/SUN/0900-1900
24353.6*A	TX	5	NOV-FEB/SUN/0900-1800
24355.45*A	TX	1	UNATNDD
24355.52*A	TX	1	ALL/ALL/ALL
24357.*A	TX	1	UNATNDD
24358.*A	TX	1	UNATNDD
24359.*A	TX	1	ALL/ALL/ALL
24359.01*A	TX	1	UNATNDD
24359.02*A	TX	1	UNATNDD
24359.1*A	TX	1	ALL/M-F/0900-1700
24363.*A	TX	1	ALL/ALL/0600-2000
24363.02*H	TX	1	ALL/MON - FRI/0800 - 1700
24363.03*A	TX	1	UNATNDD
24363.04*H	TX	1	UNATNDD
24363.05*A	TX	1	UNATNDD
24363.1*H	TX	1	ALL/ALL/ALL
24363.2*A	TX	1	UNATNDD
24368.01*A	TX	1	UNATNDD
24372.*A	TX	1	ALL/ALL/DALGT
24372.4*H	TX	1	ALL/ALL/ALL
24373.4*A	TX	1	IREG
24374.*A	TX	1	ALL/ALL/0700-1700
24375.*A	TX	1	ALL/MON-FRI/0800-1600
24377.5*A	TX	1	UNATNDD
24380.*A	TX	1	UNATNDD
24380.01*A	TX	1	ALL/ALL/ALL
24381.*A	TX	1	UNATNDD
24381.02*A	TX	1	UNATNDD
24381.9*A	TX	1	UNATNDD
24382.*A	TX	1	UNATNDD
24382.01*A	TX	1	UNATNDD
24382.02*A	TX	1	UNATNDD
24384.*A	TX	1	UNATNDD
24385.24*A	TX	1	UNATNDD
24385.25*A	TX	1	UNATNDD
24385.26*A	TX	1	UNATNDD
24385.51*A	TX	1	UNATNDD
24385.52*A	TX	1	UNATNDD
24385.53*A	TX	2	UNATNDD
24385.7*A	TX	1	UNATNDD
24387.01*H	TX	1	UNATNDD
24387.02*A	TX	1	UNATNDD
24387.03*A	TX	1	ALL/ALL/0700-1800
24387.5*A	TX	2	UNATNDD
24388.1*H	TX	1	UNATNDD
24388.11*H	TX	1	UNATNDD
24388.8*A	TX	1	UNATND
24393.04*A	TX	1	UNATNDD
24394.*A	TX	1	UNATNDD
24395.1*A	TX	1	UNATNDD
24395.11*A	TX	1	ALL/MON-SAT/0800-1600
24395.61*A	TX	1	UNATNDD
24395.62*A	TX	1	UNATNDD
24397.21*A	TX	1	ALL/MON-FRI/0800-1700
24397.3*A	TX	1	UNATNDD
24400.*A	TX	1	ALL/ALL/0800-1700
24400.15*H	TX	1	UNATNDD
24402.*H	TX	1	UNATNDD
24402.5*H	TX	1	UNATNDD
24403.*A	TX	1	UNATNDD
24403.01*H	TX	1	UNATNDD
24403.1*A	TX	1	UNATNDD
24406.*A	TX	1	UNATNDD
24406.1*A	TX	1	UNATNDD
24406.8*A	TX	1	UNATNDD
24406.81*A	TX	1	DAWN-DUSK
24407.*A	TX	1	ALL/ALL/0700-1900
24407.01*H	TX	1	UNATNDD
24407.02*A	TX	1	ALL/ALL/0800-1600
24407.03*A	TX	1	UNATNDD
24407.04*A	TX	1	UNATNDD
24407.05*H	TX	1	UNATNDD
24407.1*A	TX	1	IREG
24411.5*A	TX	1	UNATNDD
24414.5*A	TX	1	UNATNDD
24415.*A	TX	1	UNATNDD
24415.19*A	TX	1	UNATNDD
24420.11*H	TX	1	ON CALL
24420.7*A	TX	1	ALL/ALL/DALGT
24421.5*A	TX	1	UNATNDD
24422.1*H	TX	1	ALL/ALL/ALL
24422.11*H	TX	1	UNATNDD
24422.8*H	TX	1	UNATNDD
24423.*A	TX	1	ALL/ALL/ALL
24424.*A	TX	1	UNATNDD
24427.*A	TX	1	ALL/ALL/0600-2000
24427.02*A	TX	1	UNATNDD
24427.03*H	TX	1	ALL/ALL/ALL
24433.*A	TX	1	UNATNDD
24435.*A	TX	1	UNATNDD
24435.01*A	TX	1	UNATNDD
24436.*H	TX	1	UNATNDD
24437.*A	TX	1	ALL/ALL/0800-1700
24437.01*A	TX	1	UNATNDD
24445.*A	TX	1	ALL/ALL/0700-1700
24445.8*A	TX	1	UNATNDD
24446.*A	TX	1	ALL
24446.05*A	TX	1	UNATNDD
24446.7*A	TX	1	UNATNDD
24450.*A	TX	1	UNATNDD
24455.1*A	TX	1	ALL/MON-FRI/0800-1700
24455.12*A	TX	1	UNATNDD
24457.16*A	TX	1	UNATNDD
24457.2*A	TX	1	UNATNDD
24457.3*A	TX	1	UNATNDD
24459.*A	TX	1	UNATNDD
24459.01*A	TX	1	UNATNDD
24460.13*A	TX	1	ALL/ALL/SR-SS
24461.21*A	TX	1	UNATNDD
24461.22*A	TX	1	ALL/ALL/ALL
24461.23*H	TX	1	UNATNDD
24462.*A	TX	1	UNATNDD
24462.01*H	TX	1	ALL/ALL/ALL
24465.*A	TX	2	ALL/ALL/0800-1700
24465.001*A	TX	1	UNATNDD
24465.01*H	TX	1	UNATNDD
24465.51*A	TX	1	UNATNDD
24466.6*H	TX	1	UNATNDD
24472.*A	TX	1	UNATNDD
24472.1*A	TX	1	ALL/ALL/0700-1900
24473.1*A	TX	1	UNATNDD
24474.*A	TX	1	UNATNDD
24474.01*A	TX	1	UNATNDD
24478.86*A	TX	1	ALL/ALL/DALGT
24479.2*A	TX	1	ALL/ALL/DALGT
24479.23*A	TX	1	ALL/ALL/ALL
24479.24*H	TX	1	UNATNDD
24479.25*A	TX	1	UNATNDD
24480.*A	TX	1	ALL/ALL/0800-1800
24480.15*A	TX	1	UNATNDD
24480.16*A	TX	1	UNATNDD
24480.17*A	TX	1	UNATNDD
24483.*H	TX	1	UNATNDD
24483.01*H	TX	1	UNATNDD
24483.02*H	TX	1	ALL/ALL/ALL
24483.06*H	TX	1	UNATNDD
24486.*A	TX	1	ALL/ALL/ALL
24486.1*A	TX	1	UNATNDD
24486.8*A	TX	1	UNATNDD
24489.*H	TX	1	ALL/MON-FRI/DAWN-DUSK
24489.*H	TX	2	ALL/SAT-SUN/DAWN-1200
24489.1*H	TX	1	UNATNDD
24489.12*H	TX	1	ALL/MON-SAT/0700-1800
24489.13*H	TX	1	UNATNDD
24489.16*H	TX	1	ALL/MON-FRI/SR-SS
24489.17*H	TX	1	IREG
24489.2*A	TX	1	IREG
24489.9*H	TX	1	ALL/ALL/ALL
24491.1*A	TX	1	ALL/ALL/ALL
24491.11*H	TX	1	UNATNDD
24491.2*A	TX	1	UNATNDD
24494.*A	TX	1	ALL/ALL/ALL
24494.02*A	TX	1	UNATNDD
24500.*A	TX	1	ALL/MON-SAT/0800-1700
24500.*A	TX	2	ALL/SUN/1300-1700
24501.3*A	TX	1	UNATNDD
24501.6*H	TX	1	UNATNDD
24502.5*A	TX	1	UNATNDD
24503.6*A	TX	2	UNATNDD
24504.5*A	TX	1	UNATNDD
24506.*A	TX	1	UNATNDD
24506.1*A	TX	1	UNATNDD
24508.01*A	TX	1	UNATNDD
24508.02*H	TX	1	UNATNDD
24513.*A	TX	1	IREG
24519.*A	TX	1	ALL/ALL/0800-1800
24519.1*A	TX	1	ALL/MON-SAT/ALL
24519.11*A	TX	1	UNATNDD
24519.12*A	TX	1	UNATNDD
24522.01*H	TX	1	UNATNDD
24522.02*H	TX	1	UNATNDD
24522.03*H	TX	1	UNATNDD
24522.04*H	TX	1	UNATNDD
24522.05*H	TX	1	UNATNDD
24522.06*H	TX	1	UNATNDD
24522.07*H	TX	1	UNATNDD
24524.08*A	TX	1	UNATNDD
24525.11*A	TX	1	UNATNDD
24526.7*A	TX	1	UNATNDD
24527.22*A	TX	1	UNATNDD
24527.23*U	TX	1	UNATNDD
24527.6*A	TX	1	UNATNDD
24527.9*A	TX	1	IRREG
24528.2*A	TX	1	IREG
24528.21*H	TX	1	IREG
24528.22*H	TX	1	UNATNDD
24530.*H	TX	1	UNATNDD
24530.02*H	TX	1	ALL/ALL/ALL
24530.03*H	TX	1	ALL/ALL/ALL
24531.5*H	TX	1	UNATNDD
24531.51*H	TX	1	UNATNDD
24537.*A	TX	1	ALL/ALL/0800-1700
24537.01*H	TX	1	ALL/ALL/ALL
24540.*A	TX	2	UNATNDD
24540.01*A	TX	1	UNATNDD
24542.*A	TX	1	IREG
24542.02*H	TX	1	UNATNDD
24542.04*A	TX	1	ALL/ALL/DAWN-DUSK
24542.2*A	TX	1	ALL/ALL/0800-1700
24543.*A	TX	1	UNATNDD
24544.*A	TX	1	UNATNDD
24544.06*H	TX	1	ALL/ALL/DAWN-DUSK
24544.07*H	TX	1	UNATNDD
24548.11*A	TX	1	ALL/ALL/0800-1800
24548.13*A	TX	1	UNATNDD
24549.2*A	TX	1	UNATNDD
24557.1*A	TX	1	INTERMITTENT
24558.*A	TX	1	UNATNDD
24558.01*A	TX	1	UNATNDD
24558.02*A	TX	1	UNATNDD
24559.*A	TX	1	UNATNDD
24563.*A	TX	1	UNATNDD
24563.1*A	TX	1	UNATNDD
24563.11*A	TX	1	UNATNDD
24563.2*H	TX	1	UNATNDD
24566.12*A	TX	1	UNATNDD
24566.13*A	TX	1	ALL/MON-FRI/0800-1600
24570.*A	TX	1	ALL/ALL/ALL
24570.01*H	TX	1	ALL/ALL/0800-1600
24570.02*H	TX	1	UNATNDD
24571.*H	TX	1	UNATNDD
24573.4*A	TX	1	ALL/MON-FRI/0800-1700
24579.*A	TX	1	UNATNDD
24585.9*A	TX	1	UNATNDD
24586.*A	TX	1	ALL/ALL/DALGT
24586.5*A	TX	1	UNATNDD
24586.9*A	TX	1	ALL/ALL/INTMNT
24587.3*H	TX	1	UNATNDD
24588.*A	TX	1	ALL/ALL/0800-1900
24590.*U	TX	1	UNATNDD
24593.*A	TX	1	ALL/ALL/DALGT
24593.01*A	TX	1	UNATNDD
24595.1*A	TX	1	UNATNDD
24597.*A	TX	1	UNATNDD
24598.2*A	TX	1	NOV-JUN
24598.21*A	TX	1	UNATNDD
24601.*A	TX	1	IREG
24602.*A	TX	1	ALL/ALL/ALL
24605.*A	TX	1	ALL/ALL/0800-1700
24605.1*H	TX	1	UNATNDD
24605.11*H	TX	1	UNATNDD
24605.2*A	TX	1	ALL/MON-FRI/0830-1700
24605.6*A	TX	1	IREG
24606.5*A	TX	1	ALL/ALL/ALL
24606.51*A	TX	1	UNATNDD
24606.52*A	TX	1	UNATNDD
24606.53*H	TX	1	UNATNDD
24606.55*H	TX	1	UNATNDD
24606.8*A	TX	1	UNATNDD
24609.26*H	TX	1	ALL/ALL/DALGT
24609.28*H	TX	1	UNATNDD
24609.29*H	TX	1	UNATNDD
24609.6*A	TX	1	UNATNDD
24609.77*H	TX	1	UNATNDD
24610.5*A	TX	1	UNATNDD
24612.1*A	TX	1	UNATNDD
24616.31*A	TX	1	ALL/ALL/DALGT
24616.72*A	TX	1	UNATNDD
24616.73*A	TX	1	UNATNDD
24625.1*A	TX	1	ALL/MON-SAT/0900-1700
24630.*A	TX	1	UNATNDD
24630.01*A	TX	1	UNATNDD
24631.*A	TX	1	ALL/MON-FRI/0800-1200
24631.*A	TX	2	ALL/MON-FRI/1300-1700
24631.01*A	TX	1	ALL/ALL/DALGT
24631.02*A	TX	1	ALL/ALL/0700-1900
24631.7*A	TX	1	UNATNDD
24632.*A	TX	1	UNATNDD
24633.*A	TX	2	ALL/ALL/0730-1730
24633.01*A	TX	1	UNATNDD
24635.2*A	TX	1	UNATNDD
24635.23*A	TX	1	UNATNDD
24635.24*A	TX	1	UNATNDD
24635.3*A	TX	1	UNATNDD
24638.*A	TX	1	ALL/MON-FRI/0800-DUSK
24638.11*A	TX	1	UNATNDD
24638.12*H	TX	1	UNATNDD
24643.1*A	TX	1	UNATNDD
24647.16*A	TX	1	MAR-NOV/MON-SAT/0800-DUSK
24649.01*A	TX	1	UNATNDD
24652.*A	TX	1	ALL/ALL/DALGT
24656.01*A	TX	1	ALL/ALL/SR-SS
24656.11*A	TX	1	UNATNDD
24656.12*A	TX	1	UNATNDD
24658.7*A	TX	1	UNATNDD
24659.01*A	TX	1	UNATNDD
24662.1*A	TX	1	UNATNDD
24662.11*A	TX	1	ALL/ALL/ALL
24663.7*H	TX	1	UNATNDD
24664.*A	TX	1	UNATNDD
24664.01*A	TX	1	UNATNDD
24665.*A	TX	1	UNATNDD
24673.2*A	TX	1	ALL/ALL/ALL
24673.311*H	TX	1	ALL/ALL/DALGT
24673.33*H	TX	1	ALL/ALL/ALL
24673.34*H	TX	1	ALL/ALL/ALL
24673.35*H	TX	1	UNATNDD
24673.36*H	TX	1	UNATNDD
24673.5*A	TX	1	ALL/MON-FRI/0900-1700
24674.11*H	TX	1	UNATNDD
24676.1*A	TX	1	UNATNDD
24686.1*A	TX	1	UNATNDD
24686.2*A	TX	1	ALL/ALL/ALL
24692.2*H	TX	1	UNATNDD
24692.21*H	TX	1	ALL/ALL/ALL
24692.3*A	TX	1	UNATNDD
24692.5*A	TX	1	ALL/ALL/ALL
24692.6*A	TX	1	IREG
24693.*A	TX	1	ALL/ALL/0600-2200
24693.32*H	TX	1	UNATNDD
24693.34*H	TX	1	ALL/ALL/0800-1700
24693.35*A	TX	1	ALL/ALL/ALL
24693.36*H	TX	1	UNATNDD
24693.37*H	TX	1	ALL/ALL/ALL
24693.38*H	TX	1	UNATNDD
24693.4*A	TX	1	UNATNDD
24693.6*H	TX	1	ALL/MON-FRI/0800-1700
24694.*A	TX	1	ALL/ALL/ALL
24694.3*A	TX	1	ALL/ALL/0900-1700
24694.8*A	TX	1	UNATNDD
24695.*A	TX	1	ALL/ALL/ALL
24696.3*H	TX	1	UNATNDD
24696.31*H	TX	1	ALL/ALL/DALGT
24696.41*H	TX	1	UNATNDD
24696.42*H	TX	1	UNATNDD
24696.43*H	TX	1	ALL/ALL/ALL
24696.44*H	TX	1	ALL/ALL/ALL
24696.46*H	TX	1	IREG
24696.47*H	TX	1	UNATNDD
24696.5*A	TX	1	UNATNDD
24704.*A	TX	1	ALL/ALL/ALL
24705.1*H	TX	1	OPERS 1400-2300Z MON-FRI
24705.11*A	TX	1	UNATNDD
24708.*A	TX	1	ALL/ALL/0700-2200
24709.*A	TX	1	ALL/ALL/ALL
24710.01*H	TX	1	UNATNDD
24710.02*H	TX	1	UNATNDD
24711.*A	TX	1	UNATNDD
24711.02*H	TX	1	ALL/ALL/ALL
24712.7*A	TX	1	UNATNDD
24712.71*A	TX	1	UNATNDD
24716.1*A	TX	1	ALL/ALL/0700-1800
24722.9*A	TX	1	ALL
24726.*A	TX	1	UNATNDD
24726.01*A	TX	1	UNATNDD
24726.1*A	TX	1	UNATNDD
24726.11*A	TX	1	UNATNDD
24726.12*A	TX	1	UNATNDD
24726.13*A	TX	1	UNATNDD
24726.14*A	TX	1	UNATNDD
24726.15*A	TX	1	UNATNDD
24726.18*A	TX	1	UNATNDD
24729.1*U	TX	1	ALL/ALL/0800-1800
24732.1*A	TX	1	ALL/MON-FRI/1800-2300
24732.1*A	TX	2	ALL/SAT-SUN/0900-2300
24732.12*H	TX	1	ALL/ALL/ALL
24741.9*A	TX	1	UNATNDD
24741.91*A	TX	1	UNATNDD
24742.1*A	TX	1	ALL/ALL/ALL
24742.11*A	TX	1	UNATNDD
24742.39*A	TX	1	ALL/MON-FRI/0600-1800
24742.61*A	TX	1	ALL/MON-FRI/1800-0700
24742.61*A	TX	2	ALL/SAT-SUN/ALL
24742.62*U	TX	1	UNATNDD
24742.63*H	TX	1	ALL/ALL/ALL
24744.*A	TX	1	UNATNDD
24745.*A	TX	1	UNATNDD
24753.*A	TX	1	UNATNDD
24755.*H	TX	1	UNATNDD
24755.7*A	TX	1	UNATNDD
24756.7*A	TX	1	UNATNDD
24757.1*A	TX	1	ALL/ALL/IREG
24759.*H	TX	1	ALL/ALL/0700-1800
24759.02*A	TX	1	ALL/ALL/ALL
24759.1*A	TX	1	ALL/ALL/SR-SS
24759.11*A	TX	1	UNATNDD
24759.12*A	TX	1	UNATNDD
24759.13*A	TX	1	ALL/ALL/ALL
24759.14*A	TX	1	UNATNDD
24762.3*A	TX	1	UNATNDD
24762.31*A	TX	2	ALL/MON-FRI/0800-1700
24762.33*A	TX	1	UNATNDD
24762.4*H	TX	1	UNATNDD
24762.6*A	TX	1	UNATNDD
24763.*A	TX	1	ALL/MON-FRI/SR-SS
24767.1*A	TX	1	ALL/MON-FRI/0800-1800
24767.1*A	TX	2	ALL/SAT/0800-1200
24767.11*A	TX	1	UNATNDD
24767.2*A	TX	1	ALL/MON-SAT/DALGT
24770.11*A	TX	1	UNATNDD
24773.01*A	TX	1	UNATNDD
24774.1*A	TX	1	UNATNDD
24778.3*A	TX	1	UNATNDD
24778.9*A	TX	1	UNATNDD
24778.96*A	TX	1	UNATNDD
24779.*A	TX	1	ALL/ALL/0800-1700
24779.01*H	TX	1	UNATNDD
24779.02*A	TX	1	UNATNDD
24779.03*A	TX	1	UNATNDD
24779.06*A	TX	1	UNATNDD
24779.1*H	TX	1	UNATNDD
24779.3*A	TX	1	UNATNDD
24780.*A	TX	1	ALL/ALL/0700-1900
24781.*A	TX	1	UNATNDD
24781.01*A	TX	1	UNATNDD
24795.01*H	TX	1	UNATNDD
24799.1*A	TX	1	UNATNDD
24804.*A	TX	2	UNATNDD
24806.*A	TX	1	UNATTND
24808.*A	TX	1	UNATNDD
24812.2*A	TX	1	ALL/MON-FRI/0800-1700
24812.5*A	TX	1	IREG
24812.6*A	TX	1	ALL/MON-THU/IREG
24812.6*A	TX	2	ALL/SAT-SUN/0900-1600
24814.5*H	TX	1	UNATNDD
24815.11*A	TX	1	ALL/MON-SAT/0900-1700
24819.*A	TX	1	UNATNDD
24820.1*A	TX	1	ALL/ALL/0800-1800
24822.*A	TX	1	ALL/ALL/ALL
24826.2*A	TX	1	UNATNDD
24826.22*A	TX	1	UNATNDD
24826.4*A	TX	1	IREG
24827.3*A	TX	1	UNATNDD
24827.8*H	TX	1	UNATNDD
24827.91*H	TX	1	UNATNDD
24828.*H	TX	1	UNATNDD
24831.01*A	TX	1	UNATNDD
24832.*A	TX	1	UNATNDD
24832.01*A	TX	1	IREG
24832.02*A	TX	1	UNATNDD
24832.03*A	TX	1	UNATNDD
24833.1*A	TX	1	UNATNDD
24833.11*A	TX	1	ALL/ALL/SR-SS
24833.12*A	TX	1	UNATNDD
24833.21*A	TX	1	UNATNDD
24833.72*H	TX	1	UNATNDD
24833.73*H	TX	1	ALL/ALL/0600-DUSK
24833.851*H	TX	1	UNATNDD
24835.1*A	TX	1	ALL/ALL/DALGT
24835.11*A	TX	1	UNATNDD
24835.3*H	TX	1	UNATNDD
24836.*A	TX	1	UNATNDD
24839.7*H	TX	1	UNATNDD
24839.71*H	TX	1	UNATNDD
24841.*A	TX	1	UNATNDD
24843.13*A	TX	1	UNATNDD
24843.5*A	TX	1	UNATNDD
24844.*A	TX	1	UNATNDD
24849.*A	TX	1	ALL/MON-FRI/0800-1700
24849.*A	TX	2	ALL/SAT/0900-1330
24849.03*A	TX	1	ALL/ALL/ALL
24851.1*A	TX	1	IREG
24851.11*A	TX	1	UNATNDD
24851.13*A	TX	1	UNATNDD
24851.2*A	TX	1	UNATTND
24852.7*A	TX	1	UNATNDD
24853.*A	TX	1	UNATNDD
24853.02*A	TX	1	UNATNDD
24856.*A	TX	1	UNATNDD
24867.*A	TX	1	ALL/ALL/0700-1900
24867.01*A	TX	1	UNATNDD
24867.08*H	TX	1	UNATTND
24867.3*H	TX	1	UNATNDD
24867.31*H	TX	1	UNATNDD
24868.*A	TX	1	ALL/MON-SAT/0800-1800
24868.*A	TX	2	ALL/SUN/BY REQUEST
24868.01*H	TX	1	ALL/ALL/ALL
24868.8*A	TX	1	ALL/SAT-SUN/
24870.*H	TX	1	UNATNDD
24870.01*H	TX	1	ALL/ALL/ALL
24874.2*A	TX	1	IREG
24874.8*A	TX	1	UNATNDD
24875.*A	TX	1	ALL/ALL/0800-1800
24875.01*A	TX	1	UNATNDD
24875.02*A	TX	1	UNATNDD
