,ident,type,name,latitude,longitude,elevation_ft,state,municipality,service,gps_code,iata_code,local_code,website,wikipedia,keywords
23,00KS,small_airport,Hayden Farm Airport,38.72779846191406,-94.93049621582031,1100.0,KS,Gardner,False,00KS,,00KS,,,
24,00KY,small_airport,Robbins Roost Airport,37.409400939941406,-84.61969757080078,1265.0,KY,Stanford,False,00KY,,00KY,,,
25,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.98083299999999,15.0,LA,Gonzales,False,00LA,,00LA,,,
26,00LL,heliport,Ac & R Components Heliport,39.66529846191406,-89.70559692382812,600.0,IL,Chatham,False,00LL,,00LL,,,
27,00LS,small_airport,Lejeune Airport,30.13629913330078,-92.4293975830078,12.0,LA,Esterwood,False,00LS,,00LS,,,
28,00MD,small_airport,Slater Field,38.75709915161133,-75.75379943847656,45.0,MD,Federalsburg,False,00MD,,00MD,,,
29,00MI,heliport,Dow Chemical Heliport,43.94940185546875,-86.41670227050781,588.0,MI,Ludington,False,00MI,,00MI,,,
30,00MN,small_airport,Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,1365.0,MN,Battle Lake,False,00MN,,00MN,,,
31,00MO,small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970.0,MO,Alba,False,00MO,,00MO,,,5K8
32,00MT,closed,Sands Ranch Airport,48.537498,-109.70500200000001,2600.0,MT,Havre,False,,,,,,00MT
33,00N,small_airport,Bucks Airport,39.47320175170898,-75.1852035522461,105.0,NJ,Bridgeton,False,00N,,00N,,,
34,00NC,small_airport,North Raleigh Airport,36.08520126342773,-78.37139892578125,348.0,NC,Louisburg,False,00NC,,00NC,,,
35,00NJ,heliport,Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547,78.0,NJ,New Brunswick,False,00NJ,,00NJ,,,
36,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96.0,NY,Beekmantown,False,00NK,,00NK,,,
37,00NY,small_airport,Weiss Airfield,42.90010070800781,-77.49970245361328,1000.0,NY,West Bloomfield,False,00NY,,00NY,,,
38,00OH,closed,Exit 3 Airport,41.590476,-84.141583,785.0,OH,Wauseon,False,,,,,,"64D, 00OH"
39,00OI,heliport,Miami Valley Hospital Heliport,39.74530029296875,-84.1874008178711,905.0,OH,Dayton,False,00OI,,00OI,,,
40,00OK,small_airport,Gull Bay Landing Airport,36.198598,-96.21769300000001,960.0,OK,Sandsprings,False,00OK,,00OK,,,
41,00OR,heliport,Steel Systems Heliport,44.932899475097656,-123.12999725341795,195.0,OR,Salem,False,00OR,,00OR,,,
42,00PA,heliport,R J D Heliport,39.94889831542969,-75.74690246582031,402.0,PA,Coatesville,False,00PA,,00PA,,,
43,00PN,small_airport,Ferrell Field,41.2995,-80.211111,1301.0,PA,Mercer,False,00PN,,00PN,,,
44,00PS,closed,Thomas Field,40.3778,-77.365303,815.0,PA,Loysville,False,,,,,,00PS
45,00S,small_airport,Mc Kenzie Bridge State Airport,44.1832008362,-122.08899688700001,1620.0,OR,Mc Kenzie Bridge,False,00S,,00S,,https://en.wikipedia.org/wiki/McKenzie_Bridge_State_Airport,
46,00SC,small_airport,Flying O Airport,34.0093994140625,-80.26719665527344,150.0,SC,Sumter,False,00SC,,00SC,,,
47,00SD,small_airport,Homan Field,44.809158000000004,-96.498897,1590.0,SD,Gary,False,00SD,,00SD,,,
48,00TA,closed,SW Region FAA Heliport,32.8269,-97.305801,598.0,TX,Fort Worth,False,,,,,,00TA
49,00TE,heliport,Tcjc-Northeast Campus Heliport,32.847599029541016,-97.1894989013672,600.0,TX,Fort Worth,False,00TE,,00TE,,,
50,00TN,small_airport,Ragsdale Road Airport,35.515899658203125,-85.95359802246094,1100.0,TN,Manchester,False,00TN,,00TN,,,
51,00TS,small_airport,Alpine Range Airport,32.607601165771484,-97.24199676513672,670.0,TX,Everman,False,00TS,,00TS,,,
52,00TX,closed,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,19.0,TX,Baytown,False,,,,,,00TX
53,00UT,closed,Clear Creek Ranch Airport,37.247799,-112.821998,6138.0,UT,Kanab,False,,,,,,"00UT, U21"
54,00VA,small_airport,Vaughan Airport,36.57600021,-78.9991684,551.0,VA,Alton,False,00VA,,00VA,,,
55,00VI,small_airport,Groundhog Mountain Airport,36.66329956054688,-80.49949645996094,2680.0,VA,Hillsville,False,00VI,,00VI,,,
56,00W,small_airport,Lower Granite State Airport,46.67350006103501,-117.44300079346,719.0,WA,Colfax,False,00W,,00W,http://www.wsdot.wa.gov/aviation/AllStateAirports/Colfax_LowerGraniteState.htm,,0WA0
57,00WA,small_airport,Howell Airport,47.17839813232422,-122.77200317382812,150.0,WA,Longbranch,False,00WA,,00WA,,,
58,00WI,small_airport,Northern Lite Airport,44.304298400878906,-89.05010223388672,860.0,WI,Waupaca,False,00WI,,00WI,,,
59,00WN,small_airport,Hawks Run Airport,46.25,-117.2490005493164,2900.0,WA,Asotin,False,00WN,,00WN,,,
60,00WV,small_airport,Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,2060.0,WV,Beverly,False,00WV,,00WV,,,
61,00WY,heliport,Mountain View Regional Hospital Heliport,42.840361,-106.224443,5210.0,WY,Casper,False,00WY,,00WY,,,
62,00XS,small_airport,L P Askew Farms Airport,33.033401489257805,-101.93399810791016,3110.0,TX,O'Donnell,False,00XS,,00XS,,,
63,01A,small_airport,Purkeypile Airport,62.94359970092773,-152.27000427246094,1950.0,AK,Purkeypile,False,01A,,01A,,,
64,01AK,heliport,Providence Seward Medical Center Heliport,60.1058739754,-149.446249008,120.0,AK,Seward,False,01AK,,01AK,,,
65,01AL,small_airport,Ware Island Airport,32.945999145507805,-86.51390075683594,344.0,AL,Clanton,False,01AL,,01AL,,,
66,01AR,heliport,Community Hospital of De Queen Heliport,34.047298431396484,-94.35489654541016,400.0,AR,De Queen,False,01AR,,01AR,,,
67,01AZ,heliport,Yat Heliport,34.60810089111328,-111.86499786376952,3300.0,AZ,Camp Verde,False,01AZ,,01AZ,,,
68,01C,closed,Grant Airport,43.341701507568,-85.775001525879,815.0,MI,Grant,False,01C,,01C,,https://en.wikipedia.org/wiki/Grant_Airport,
69,01CA,heliport,Lugo Substation Heliport,34.368240591699994,-117.370058745,3733.0,CA,Hesperia,False,01CA,,01CA,,,
70,01CL,small_airport,Swansboro Country Airport,38.79990005493164,-120.73400115966795,2594.0,CA,Placerville,False,01CL,,01CL,,,
71,01CN,heliport,Los Angeles County Sheriff's Department Heliport,34.03779983520508,-118.15399932861328,300.0,CA,Los Angeles,False,01CN,,01CN,,,
72,01CO,heliport,St Vincent General Hospital Heliport,39.24530029296875,-106.24600219726562,10175.0,CO,Leadville,False,01CO,,01CO,,,
73,01CT,heliport,Berlin Fairgrounds Heliport,41.62730026245117,-72.72750091552734,60.0,CT,Berlin,False,01CT,,01CT,,,
74,01FA,small_airport,Rybolt Ranch Airport,28.589399337768555,-81.14420318603516,55.0,FL,Orlando,False,01FA,,01FA,,,
75,01FD,heliport,Advent Health Altamonte Springs Heliport,28.666639,-81.3697,86.0,FL,Altamonte Springs,False,01FD,,01FD,,,Florida Hospital-Altamonte
76,01FL,small_airport,Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836,19.0,FL,Geneva,False,01FL,,01FL,,,
77,01GA,heliport,Medical Center Heliport,32.47930145263672,-84.9791030883789,319.0,GA,Columbus,False,01GA,,01GA,,,
78,01GE,small_airport,The Farm Airport,32.674400329589844,-82.77110290527344,375.0,GA,Wrightsville,False,01GE,,01GE,,,
79,01IA,small_airport,Stender Airport,41.66109848022461,-90.74130249023438,725.0,IA,Maysville,False,01IA,,01IA,,,
80,01ID,small_airport,Lava Hot Springs Airport,42.6082,-112.031998,5268.0,ID,Lava Hot Springs,False,01ID,,01ID,,,"Formerly 00E, ID26"
81,01II,small_airport,Myers Field,39.8849983215332,-86.50669860839844,950.0,IN,Lizton,False,01II,,01II,,,
82,01IL,heliport,Hoopeston Community Memorial Hospital Heliport,40.45859909057617,-87.65950012207031,583.0,IL,Hoopeston,False,01IL,,01IL,,,
83,01IN,heliport,Community Hospital Heliport,40.13090133666992,-85.69580078125,890.0,IN,Anderson,False,01IN,,01IN,,,
84,01IS,small_airport,William E. Koenig Airport,39.01620101928711,-90.31819915771484,670.0,IL,Dow,False,01IS,,01IS,,,
85,01J,small_airport,Hilliard Airpark,30.68630027770996,-81.90570068359375,59.0,FL,Hilliard,False,01J,,01J,,,
86,01K,small_airport,Caldwell Municipal Airport,37.03609848022461,-97.5864028930664,1157.0,KS,Caldwell,False,01K,,01K,,,
87,01KS,small_airport,Flying N Ranch Airport,38.54059982299805,-97.00330352783205,1485.0,KS,Lost Springs,False,01KS,,01KS,,,
88,01KY,heliport,Lourdes Hospital Heliport,37.051700592041016,-88.64689636230469,419.0,KY,Paducah,False,01KY,,01KY,,,
89,01LA,small_airport,Barham Airport,32.638999938964844,-91.77369689941406,90.0,LA,Oak Ridge,False,01LA,,01LA,,,
90,01LL,small_airport,Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,555.0,IL,Pinckneyville,False,01LL,,01LL,,,
91,01LS,small_airport,Country Breeze Airport,30.70599937438965,-91.07740020751952,125.0,LA,Slaughter,False,01LS,,01LS,,,
92,01MA,heliport,Compaq Andover Heliport,42.625099182128906,-71.18009948730469,140.0,MA,Andover,False,01MA,,01MA,,,
93,01MD,seaplane_base,Annapolis Seaplane Base,38.999199,-76.456001,,MD,Annapolis,False,01MD,,01MD,,,
94,01ME,seaplane_base,Saint Peter's Seaplane Base,46.77890014648438,-68.50029754638672,608.0,ME,Portage Lake,False,01ME,,01ME,,,
95,01MI,heliport,Flow Through Terminal Heliport,43.04949951171875,-83.67970275878906,736.0,MI,Flint,False,01MI,,01MI,,,
96,01MN,seaplane_base,Barnes Seaplane Base,47.89960098266602,-92.55740356445312,1358.0,MN,Cook,False,01MN,,01MN,,,
97,01MO,heliport,Highway Patrol Troop C Headquarters Heliport,38.641700744628906,-90.48429870605469,615.0,MO,Town and Country,False,01MO,,01MO,,,
98,01MT,small_airport,Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341795,3141.0,MT,Fortine,False,01MT,,01MT,,,
99,01NC,small_airport,Topsail Airpark,34.47529983520508,-77.5813980102539,65.0,NC,Holly Ridge,False,01NC,,01NC,,,
100,01NE,small_airport,Detour Airport,40.84360122680664,-100.65299987792969,3000.0,NE,Wellfleet,False,01NE,,01NE,,,
101,01NH,small_airport,Moore Airfield,43.6445,-72.086998,835.0,NH,Canaan,False,01NH,,01NH,,,Enfield
102,01NJ,heliport,Albert Guido Memorial Heliport,40.741798400878906,-74.13710021972656,10.0,NJ,Newark,False,01NJ,,01NJ,,,
103,01NM,small_airport,Champion Ranch Airport,33.008611,-104.540278,3630.0,NM,Artesia,False,01NM,,01NM,,,
104,01NV,small_airport,Lantana Ranch Airport,38.76390075683594,-119.0270004272461,4600.0,NV,Yerington,False,01NV,,01NV,,,
105,01NY,closed,Vassar Hospital Heliport,41.694187,-73.935582,100.0,NY,Poughkeepsie,False,,,,,,01NY
106,01OI,heliport,Galion Community Hospital Heliport,40.73059844970703,-82.80159759521484,1140.0,OH,Galion,False,01OI,,01OI,,,
107,01OK,closed,Lawrence Airport,35.294498,-98.636496,1525.0,OK,Eakly,False,,,,,,01OK
108,01OR,closed,Red & White Flying Service Airport,43.119301,-121.044997,4346.0,OR,Silver Lake,False,,,,,,01OR
109,01PA,closed,Pine Heliport,40.655602,-80.050903,1215.0,PA,Mars,False,,,,,,01PA
110,01PN,small_airport,Bierly(Personal Use) Airport,40.93059921264648,-77.73889923095703,960.0,PA,Bellefonte,False,01PN,,01PN,,,
111,01PS,small_airport,Nort's Resort Airport,41.59590148925781,-76.02960205078125,1040.0,PA,Meshoppen,False,01PS,,01PS,,,
112,01SC,small_airport,York Airport,35.032100677490234,-81.25279998779297,779.0,SC,York,False,01SC,,01SC,,,
113,01TA,heliport,Thirty Thirty Matlock Office Center Heliport,32.694198608398445,-97.11579895019531,630.0,TX,Arlington,False,01TA,,01TA,,,
114,01TE,small_airport,Smith Field,32.737598419189446,-96.4280014038086,505.0,TX,Forney,False,01TE,,01TE,,,
115,01TN,small_airport,Colonial Air Park,34.995899200439446,-89.73059844970703,370.0,TN,Collierville,False,01TN,,01TN,,,
116,01TS,closed,St Joseph Hospital Heliport,32.7285,-97.324501,675.0,TX,Fort Worth,False,,,,,,01TS
117,01TX,small_airport,Mims Farm Ultralightport,32.38759994506836,-96.87750244140624,610.0,TX,Waxahachie,False,01TX,,01TX,,,
118,01U,small_airport,Duckwater Airport,38.851600646972656,-115.63400268554688,5124.0,NV,Duckwater,False,01U,,01U,,,
119,01UT,small_airport,La Sal Junction Airport,38.30830001831055,-109.39600372314452,6000.0,UT,La Sal,False,01UT,,01UT,,,
120,01VA,small_airport,Pickles Airport,39.125,-77.9250030518,500.0,VA,Berryville,False,01VA,,01VA,,,
121,01WA,heliport,Willapa Harbor Heliport,46.66320037841797,-123.81199645996094,154.0,WA,South Bend,False,01WA,,01WA,,,
122,01WI,small_airport,Prehn Cranberry Company Airport,44.0099983215332,-90.38919830322266,930.0,WI,Tomah,False,01WI,,01WI,,,
123,01WN,heliport,Whidbey General Hospital Heliport,48.2134017944336,-122.68499755859376,103.0,WA,Coupeville,False,01WN,,01WN,,,
124,01WT,heliport,Odyssey Heliport,47.518178000000006,-122.210908,20.0,WA,Renton,False,01WT,,01WT,,,
125,01WY,small_airport,Keyhole Airport,44.34719848632813,-104.81099700927734,4250.0,WY,Moorcroft,False,01WY,,01WY,,,
126,01XA,heliport,Seton Medical Center Hays Heliport,30.007222,-97.85333299999999,715.0,TX,Kyle,False,01XA,,01XA,,,
127,01XS,heliport,Meadowood Ranch Heliport,32.020198822021484,-95.74549865722656,500.0,TX,Athens,False,01XS,,01XS,,,
128,02AK,small_airport,Rustic Wilderness Airport,61.87689971923828,-150.09800720214844,190.0,AK,Willow,False,02AK,,02AK,,,
129,02AL,small_airport,Bass Field,30.37150001525879,-87.76439666748047,61.0,AL,Foley,False,02AL,,02AL,,,
130,02AR,closed,Three Rivers Airport,34.822445,-92.44442,264.0,AR,Little Rock,False,,,,,,02AR
131,02AZ,closed,Winchester Farm Airstrip,32.376401,-109.936996,4200.0,AZ,Willcox,False,,,,,,02AZ
132,02CA,heliport,Swepi Beta Platform Ellen Heliport,33.58250045776367,-118.12899780273438,122.0,CA,Huntington Beach,False,02CA,,02CA,,,
133,02CD,small_airport,Shannon Field,34.129600524902344,-90.52400207519531,165.0,MS,Clarksdale,False,02CD,,02CD,,,
134,02CL,small_airport,Conover Air Lodge Airport,34.761101000000004,-119.058998,5160.0,CA,Frazier Park,False,02CL,,02CL,,,04L
135,02CO,small_airport,Mc Cullough Airport,37.64329910279999,-106.04699707,7615.0,CO,Monte Vista,False,02CO,,02CO,,,
136,02CT,heliport,Strangers Point Heliport,41.91960144042969,-72.44450378417969,540.0,CT,Ellington,False,02CT,,02CT,,,
137,02FA,small_airport,Osborn Airfield,28.52669906616211,-81.87480163574219,121.0,FL,Groveland,False,02FA,,02FA,,,
138,02FL,closed,Cuchens Airport,30.642527,-86.118779,215.0,FL,Defuniak Springs,False,,,,,,02FL
139,02GA,small_airport,Doug Bolton Field,34.202598571777344,-83.42900085449219,884.0,GA,Commerce,False,02GA,,02GA,,,
140,02GE,small_airport,Etowah Fields Airport,34.17530059814453,-84.92440032958984,710.0,GA,Euharlee,False,02GE,,02GE,,,
141,02HI,heliport,K3 Helipad Heliport,21.36199951171875,-157.9510040283203,9.0,HI,Pearl Harbor,False,02HI,,02HI,,,
142,02IA,heliport,Boone County Hospital Heliport,42.05609893798828,-93.87799835205078,1160.0,IA,Boone,False,02IA,,02IA,,,
143,02ID,small_airport,Morgan Ranch Airport,44.55550003051758,-115.30500030517578,5634.0,ID,Cascade,False,02ID,,02ID,,,
144,02II,small_airport,King Ultralightport,40.06230163574219,-86.21050262451172,925.0,IN,Westfield,False,02II,,02II,,,
145,02IN,small_airport,Diamond P. Field,40.208900451660156,-85.54080200195312,904.0,IN,Muncie,False,02IN,,02IN,,,
146,02IS,heliport,Condell Medical Center Heliport,42.274600982666016,-87.9572982788086,762.0,IL,Libertyville,False,02IS,,02IS,,,
147,02KS,small_airport,Jmj Landing Airport,39.22219848632813,-96.0552978515625,1170.0,KS,St Marys,False,02KS,,02KS,,,
148,02KT,heliport,St Claire Healthcare Heliport,38.181441,-83.44331899999999,781.0,KY,Morehead,False,02KT,,02KT,,,
149,02KY,heliport,Boone National Guard Heliport,38.18339920043945,-84.89990234375,760.0,KY,Frankfort,False,02KY,,02KY,,,
150,02LA,heliport,La State Police Troop G Heliport,32.531299591064446,-93.6602020263672,168.0,LA,Bossier City,False,02LA,,02LA,,,
151,02LS,heliport,Windy Hill Heliport,30.14830017089844,-91.91899871826172,25.0,LA,Broussard,False,02LS,,02LS,,,
152,02MA,heliport,Cuttyhunk Heliport,41.41960144042969,-70.927001953125,9.0,MA,Gosnold,False,02MA,,02MA,,,
153,02MD,small_airport,Garner Field,38.672544,-76.709739,141.0,MD,Brandywine,False,02MD,,02MD,,,
154,02ME,small_airport,Nadeau's Airfield,43.5373,-70.929397,700.0,ME,Acton,False,02ME,,02ME,,,Old Acton Airfield
155,02MI,small_airport,Fairplains Airpark,43.15710067749024,-85.14849853515625,850.0,MI,Greenville,False,02MI,,02MI,,,
156,02MN,small_airport,Greenbush Municipal Airport,48.68330001831055,-96.19200134277344,1070.0,MN,Greenbush,False,02MN,,02MN,,,
157,02MO,small_airport,Troy Airpark,39.04999923706055,-91.03350067138672,650.0,MO,Troy,False,02MO,,02MO,,,
158,02MS,small_airport,Watts Field,34.100101470947266,-90.8468017578125,153.0,MS,Rochdale,False,02MS,,02MS,,,
159,02MT,closed,Barrett Field,47.2374,-111.74304,3350.0,MT,Cascade,False,,,,,,02MT
160,02MU,closed,Timber Line Airpark,36.654233000000005,-93.79741800000001,1550.0,MO,Cassville,False,,,,,,02MU
161,02NC,heliport,Race City Heliport,35.541111,-80.597778,809.0,NC,Landis,False,02NC,,02NC,,,
162,02NE,small_airport,Benes Service Airport,41.074501037597656,-96.90450286865234,1550.0,NE,Valparaiso,False,02NE,,02NE,,,
163,02NH,seaplane_base,Iroquois Landing Seaplane Base,44.65710067749024,-71.21910095214844,1180.0,NH,Dummer,False,02NH,,02NH,,,
164,02NJ,heliport,Penske Heliport,40.55730056762695,-74.46710205078125,78.0,NJ,Piscataway,False,02NJ,,02NJ,,,
165,02NV,small_airport,Paiute Meadows Airport,41.30329895019531,-118.5979995727539,4443.0,NV,Winnemucca,False,02NV,,02NV,,,
166,02NY,heliport,Hansen Heliport,43.13259887695313,-75.65550231933594,435.0,NY,Durhamville,False,02NY,,02NY,,,
167,02OH,small_airport,Zimmerman Airport,41.37639999389648,-83.08329772949219,614.0,OH,Fremont,False,02OH,,02OH,,,
168,02OI,small_airport,Murtha Airport,41.80199813842773,-80.56539916992188,950.0,OH,Conneaut,False,02OI,,02OI,,,
169,02OK,closed,Canon Heliport,35.458401,-97.525297,1191.0,OK,Oklahoma City,False,,,02OK,,,02OK
170,02OR,small_airport,Rowena Dell Airport,45.68149948120117,-121.31600189208984,705.0,OR,The Dalles,False,02OR,,02OR,,,
171,02P,heliport,Stottle Memorial Heliport,40.403596,-77.556602,591.0,PA,Honey Grove,False,,,02P,,,"EWT 4,"
172,02PA,heliport,Lag Iii Heliport,40.43830108642578,-79.7699966430664,1070.0,PA,Monroeville,False,02PA,,02PA,,,
173,02PN,heliport,Peco Berwyn Heliport,40.06959915161133,-75.4552001953125,390.0,PA,Berwyn,False,02PN,,02PN,,,
175,02PS,small_airport,Hughes Ultralightport,41.90060043334961,-77.23030090332031,1700.0,PA,Tioga,False,02PS,,02PS,,,
176,02SC,small_airport,Harpers Airport,32.758499145507805,-81.22480010986328,111.0,SC,Estill,False,02SC,,02SC,,,
177,02T,small_airport,Wise River Airport,45.76910018920898,-112.98200225830078,5830.0,MT,Wise River,False,02T,,02T,,,
178,02TA,heliport,Matagorda Shore Facility Heliport,28.721399307250977,-95.8738021850586,5.0,TX,Matagorda,False,02TA,,02TA,,,
179,02TE,heliport,Baylor Medical Center Heliport,32.395401000976555,-96.86419677734376,560.0,TX,Waxahachie,False,02TE,,02TE,,,
180,02TN,small_airport,Ellis Field,35.780601501464844,-86.58419799804688,840.0,TN,Murfreesboro,False,02TN,,02TN,,,
181,02TS,closed,FWOMC Heliport,32.747601,-97.370003,684.0,TX,Fort Worth,False,,,,,,02TS
182,02TX,small_airport,The Palms At Kitty Hawk Airport,33.3704032898,-101.92288208,3235.0,TX,New Home,False,02TX,,02TX,,,
183,02UT,small_airport,Lucin Airport,41.36629867553711,-113.84300231933594,4412.0,UT,Lucin,False,02UT,,02UT,,,
184,02VA,small_airport,The Greenhouse Airport,38.43569946289063,-77.8572006225586,320.0,VA,Culpeper,False,02VA,,02VA,,,
185,02VG,heliport,Northstar Aviation Heliport,36.63880157470703,-82.11669921875,1850.0,VA,Bristol,False,02VG,,02VG,,,
186,02WA,small_airport,Cawleys South Prairie Airport,47.15230178833008,-122.09400177001952,690.0,WA,South Prairie,False,02WA,,02WA,,,
187,02WI,small_airport,Beer Airport,45.031898498535156,-92.65579986572266,920.0,WI,Hudson,False,02WI,,02WI,,,
188,02WN,small_airport,Fowler Field,48.74580001831055,-119.31900024414062,2150.0,WA,Tonasket,False,02WN,,02WN,,,
189,02XA,small_airport,JLS Farms Airport,33.591319,-95.882864,675.0,TX,Honey Grove,False,02XA,,02XA,,,
190,02XS,small_airport,Seidel Ranch Airport,30.1476993560791,-97.66280364990234,510.0,TX,Elroy,False,02XS,,02XS,,,
191,03AA,heliport,Trapper T Heliport,61.55605500000001,-149.284527,159.0,AK,Palmer,False,03AA,,03AA,,,
192,03AK,seaplane_base,Joe Clouds Seaplane Base,60.72722244262695,-151.13278198242188,150.0,AK,Kenai,False,03AK,,03AK,,,
193,03AL,heliport,Highland Medical Center Heliport,34.662603999999995,-86.046774,628.0,AL,Scottsboro,False,03AL,,03AL,,,Jackson County Hospital Heliport
194,03AR,heliport,Hscmh Heliport,34.357601165771484,-92.78849792480469,350.0,AR,Malvern,False,03AR,,03AR,,,
195,03AZ,small_airport,Thompson International Aviation Airport,31.43339920043945,-110.08399963378906,4275.0,AZ,Hereford,False,03AZ,,03AZ,,,
196,03CA,heliport,Grossmont Hospital Heliport,32.779484000000004,-117.006952,634.0,CA,La Mesa,False,03CA,,03CA,,,
197,03CO,small_airport,Kugel-Strong Airport,40.2125015259,-104.744003296,4950.0,CO,Platteville,False,03CO,,03CO,,,
198,03FA,small_airport,Lake Persimmon Airstrip,27.35309982299805,-81.40809631347656,70.0,FL,Lake Placid,False,03FA,,03FA,,,
199,03FD,closed,Tharpe Airport,30.8288,-85.731003,115.0,FL,Bonifay,False,,,,,,03FD
200,03FL,heliport,Ranger Heliport,26.68370056152344,-80.18730163574219,20.0,FL,West Palm Beach,False,03FL,,03FL,,,
201,03GA,small_airport,HIA Airport,32.5623056,-81.8576944,238.0,IN,Statesboro,False,03GA,,03GA,,,
202,03I,closed,Clarks Dream Strip,39.644199,-83.018204,680.0,OH,Circleville,False,,,,,,03I
203,03IA,small_airport,East Field,41.58190155029297,-92.4613037109375,954.0,IA,Montezuma,False,03IA,,03IA,,,
204,03ID,small_airport,Flying Y Ranch Airport,44.7943000793457,-116.53299713134766,3180.0,ID,Council,False,03ID,,03ID,,,
205,03II,small_airport,Davis Field Ultralightport,37.962001800500005,-87.77890014649999,465.0,IN,Mount Vernon,False,03II,,03II,,,
206,03IL,small_airport,Wix Airport,41.40230178833008,-87.81670379638672,750.0,IL,Monee,False,03IL,,03IL,,,
207,03IN,small_airport,Heinzman Airport,40.18000030517578,-86.01249694824219,850.0,IN,Arcadia,False,03IN,,03IN,,,
208,03IS,heliport,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,580.0,IL,Alton,False,03IS,,03IS,,,St Anthony's Hospital
209,03KS,heliport,Valley Grain Heliport,39.86470031738281,-95.26409912109376,1160.0,KS,Highland,False,03KS,,03KS,,,
210,03KY,small_airport,Flying H Farms Airport,37.79169845581055,-87.54139709472656,385.0,KY,Henderson,False,03KY,,03KY,,,
211,03LA,heliport,Damien Heliport,30.19960021972656,-91.12789916992188,25.0,LA,Carville,False,03LA,,03LA,,,
212,03LS,heliport,Fmc Nr 1 Heliport,32.15900039672852,-91.70800018310548,79.0,LA,Winnsboro,False,03LS,,03LS,,,
213,03M,seaplane_base,Lakeside Marina Seaplane Base,44.320899963378906,-69.88950347900389,165.0,ME,East Winthrop,False,03M,,03M,,,
